# trend_g1.py output (DERIVED; every slope and ratio is computed, no vendor prints it)

Inputs: 389 LUT rows, 96 verified G1 rows; 363 printed wood points (grade a/b, not fallback) before the per-diameter dedupe.
Series with >= 2 diameters: 63 (LUT only 42, G1 only 21).

## A. Chipload against diameter, every series with >= 2 sizes (mm/tooth)
Frame = the diameter the series keys on. 'copy of' = the same printed cell as the named
material (a shared chart row); it is not a second witness.

### tapered_ball_nose: 12 series
| source | subfamily | material | fl | role | grade/kind | frame | d mm | min | max | mid |
| spetool_2d3d_tapered_router_bit_c~ | spetool_2d3d_tapered | mdf | 2 | finish | b/exact | tip | 0.5 | - | 0.01778 | 0.0178 |
| | | | | | | | 0.7937 | - | 0.02032 | 0.0203 |
| | | | | | | | 1 | - | 0.0254 | 0.0254 |
| | | | | | | | 1.5 | - | 0.0381 | 0.0381 |
| | | | | | | | 1.5875 | - | 0.0381 | 0.0381 |
| | | | | | | | 2 | - | 0.0762 | 0.0762 |
| | | | | | | | 3 | - | 0.1016 | 0.1016 |
| | | | | | | | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 4 | - | 0.127 | 0.1270 |
| spetool_2d3d_tapered_router_bit_c~ | spetool_2d3d_tapered | softwood (copy of mdf) | 2 | finish | b/derived | tip | 0.5 | - | 0.01778 | 0.0178 |
| | | | | | | | 0.7937 | - | 0.02032 | 0.0203 |
| | | | | | | | 1 | - | 0.0254 | 0.0254 |
| | | | | | | | 1.5 | - | 0.0381 | 0.0381 |
| | | | | | | | 1.5875 | - | 0.0381 | 0.0381 |
| | | | | | | | 2 | - | 0.0762 | 0.0762 |
| | | | | | | | 3 | - | 0.1016 | 0.1016 |
| | | | | | | | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 4 | - | 0.127 | 0.1270 |

### ball_nose: 5 series
| source | subfamily | material | fl | role | grade/kind | frame | d mm | min | max | mid |
|---|---|---|---|---|---|---|---|---|---|---|
| amana_ball_nose_v7 | solid_carbide | hardwood | 2 | roughing | a/exact | cutting D | 3.175 | 0.0762 | 0.127 | 0.1016 |
| | | | | | | | 6.35 | 0.127 | 0.1778 | 0.1524 |
| amana_ball_nose_v7 | solid_carbide | mdf | 2 | roughing | a/exact | cutting D | 3.175 | 0.127 | 0.1778 | 0.1524 |
| | | | | | | | 6.35 | 0.1524 | 0.2032 | 0.1778 |
| amana_ball_nose_v7 | solid_carbide | softwood | 2 | roughing | a/exact | cutting D | 3.175 | 0.127 | 0.1778 | 0.1524 |
| | | | | | | | 6.35 | 0.1778 | 0.2286 | 0.2032 |
| amana_zrn_3d_profiling | zrn | softwood | 2 | finish | a/derived+exact | tip (tapered tool, D1) | 1 | 0.01905 | 0.0508 | 0.0349 |
| | | | | | | | 1.5875 | 0.0388 | 0.0635 | 0.0512 |
| amana_zrn_3d_profiling_v8 | zrn | softwood | 3 | finish | a/exact | cutting D | 9.525 | 0.1524 | 0.2032 | 0.1778 |
| | | | | | | | 12.7 | 0.1778 | 0.2286 | 0.2032 |

### chamfer_vbit: 1 series
| source | subfamily | material | fl | role | grade/kind | frame | d mm | min | max | mid |
|---|---|---|---|---|---|---|---|---|---|---|
| amana_ams159_vgroove_v2 | carbide_tipped_vgroove | softwood | 2 | finish | a/exact | body D | 9.525 | 0.0762 | 0.0762 | 0.0762 |
| | | | | | | | 12.7 | 0.0762 | 0.0762 | 0.0762 |

### flat_end: 45 series
| source | subfamily | material | fl | role | grade/kind | frame | d mm | min | max | mid |
|---|---|---|---|---|---|---|---|---|---|---|
| amana_compression_spirals_v8 | compression | hardwood | 2 | roughing | a/exact | cutting D | 6.35 | 0.0787 | 0.0787 | 0.0787 |
| | | | | | | | 12.7 | 0.1956 | 0.1956 | 0.1956 |
| amana_compression_spirals_v8 | compression | mdf | 2 | roughing | a/exact | cutting D | 6.35 | 0.1549 | 0.1549 | 0.1549 |
| | | | | | | | 12.7 | 0.2819 | 0.2819 | 0.2819 |
| amana_spektra_spiral_plunge_v24 | spektra_spiral_plunge | hardwood | 2 | roughing | b/derived | cutting D | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 6 | - | 0.127 | 0.1270 |
| | | | | | | | 6.35 | - | 0.127 | 0.1270 |
| amana_spektra_spiral_plunge_v24 | spektra_spiral_plunge | hardwood | 3 | roughing | b/derived | cutting D | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 6 | - | 0.127 | 0.1270 |
| | | | | | | | 6.35 | - | 0.127 | 0.1270 |
| amana_spektra_spiral_plunge_v24 | spektra_spiral_plunge | mdf | 2 | roughing | a/exact | cutting D | 0.7937 | 0.0508 | 0.0508 | 0.0508 |
| | | | | | | | 1.5 | 0.0762 | 0.0762 | 0.0762 |
| | | | | | | | 1.5875 | 0.0762 | 0.0762 | 0.0762 |
| | | | | | | | 2.3813 | 0.11684 | 0.11684 | 0.1168 |
| | | | | | | | 3 | 0.127 | 0.127 | 0.1270 |
| | | | | | | | 3.175 | - | 0.127 | 0.1270 |
| | | | | | | | 4.7625 | 0.1524 | 0.1524 | 0.1524 |
| | | | | | | | 5 | 0.1524 | 0.1524 | 0.1524 |
| | | | | | | | 6 | - | 0.1524 | 0.1524 |
| | | | | | | | 6.35 | - | 0.1524 | 0.1524 |
| | | | | | | | 9.525 | 0.27432 | 0.27432 | 0.2743 |
| | | | | | | | 12 | 0.24384 | 0.24384 | 0.2438 |
| | | | | | | | 12.7 | 0.24384 | 0.24384 | 0.2438 |
| amana_spektra_spiral_plunge_v24 | spektra_spiral_plunge | mdf | 3 | roughing | a/exact | cutting D | 3.175 | - | 0.127 | 0.1270 |
| | | | | | | | 6 | - | 0.1524 | 0.1524 |
| | | | | | | | 6.35 | - | 0.1524 | 0.1524 |
| | | | | | | | 9.525 | 0.27432 | 0.27432 | 0.2743 |
| | | | | | | | 12.7 | 0.24384 | 0.24384 | 0.2438 |
| | | | | | | | 19.05 | 0.254 | 0.254 | 0.2540 |
| amana_spektra_spiral_plunge_v24 | spektra_spiral_plunge | plywood_hardwood (copy of hardwood) | 2 | roughing | b/derived | cutting D | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 6 | - | 0.127 | 0.1270 |
| | | | | | | | 6.35 | - | 0.127 | 0.1270 |
| amana_spektra_spiral_plunge_v24 | spektra_spiral_plunge | plywood_hardwood (copy of hardwood) | 3 | roughing | b/derived | cutting D | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 6 | - | 0.127 | 0.1270 |
| | | | | | | | 6.35 | - | 0.127 | 0.1270 |
| amana_spektra_spiral_plunge_v24 | spektra_spiral_plunge | plywood_softwood (copy of hardwood) | 2 | roughing | b/derived | cutting D | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 6 | - | 0.127 | 0.1270 |
| | | | | | | | 6.35 | - | 0.127 | 0.1270 |
| amana_spektra_spiral_plunge_v24 | spektra_spiral_plunge | plywood_softwood (copy of hardwood) | 3 | roughing | b/derived | cutting D | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 6 | - | 0.127 | 0.1270 |
| | | | | | | | 6.35 | - | 0.127 | 0.1270 |
| amana_spektra_spiral_plunge_v24 | spektra_spiral_plunge | softwood | 2 | roughing | a+b/derived+exact | cutting D | 0.7937 | 0.0254 | 0.0254 | 0.0254 |
| | | | | | | | 1.5 | 0.0508 | 0.0508 | 0.0508 |
| | | | | | | | 1.5875 | 0.0508 | 0.0508 | 0.0508 |
| | | | | | | | 2.3813 | 0.05842 | 0.05842 | 0.0584 |
| | | | | | | | 3 | 0.1016 | 0.1016 | 0.1016 |
| | | | | | | | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 4.7625 | 0.127 | 0.127 | 0.1270 |
| | | | | | | | 5 | 0.127 | 0.127 | 0.1270 |
| | | | | | | | 6 | - | 0.127 | 0.1270 |
| | | | | | | | 6.35 | - | 0.127 | 0.1270 |
| | | | | | | | 9.525 | 0.16256 | 0.16256 | 0.1626 |
| | | | | | | | 12 | 0.14478 | 0.14478 | 0.1448 |
| | | | | | | | 12.7 | 0.14478 | 0.14478 | 0.1448 |
| amana_spektra_spiral_plunge_v24 | spektra_spiral_plunge | softwood | 3 | roughing | a+b/derived+exact | cutting D | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 6 | - | 0.127 | 0.1270 |
| | | | | | | | 6.35 | - | 0.127 | 0.1270 |
| | | | | | | | 9.525 | 0.16256 | 0.16256 | 0.1626 |
| | | | | | | | 12.7 | 0.14478 | 0.14478 | 0.1448 |
| | | | | | | | 19.05 | 0.2286 | 0.2286 | 0.2286 |
| amana_zrn_3d_profiling_v8 | zrn_2d3d_carving | softwood | 2 | roughing | a/exact | cutting D | 3.175 | 0.0762 | 0.127 | 0.1016 |
| | | | | | | | 6 | 0.1778 | 0.2286 | 0.2032 |
| | | | | | | | 6.35 | 0.1524 | 0.2032 | 0.1778 |
| freud_router_bit_feed_and_speed_f~ | solid_carbide | hardwood | 2 | finish | a/exact | cutting D | 3.175 | 0.0508 | 0.127 | 0.0889 |
| | | | | | | | 6.35 | 0.2032 | 0.2794 | 0.2413 |
| | | | | | | | 9.525 | 0.3556 | 0.4064 | 0.3810 |
| | | | | | | | 12.7 | 0.4572 | 0.5334 | 0.4953 |
| freud_router_bit_feed_and_speed_f~ | solid_carbide | mdf | 2 | roughing | a/exact | cutting D | 3.175 | 0.1016 | 0.1778 | 0.1397 |
| | | | | | | | 6.35 | 0.3302 | 0.4318 | 0.3810 |
| | | | | | | | 12.7 | 0.5842 | 0.6858 | 0.6350 |
| freud_router_bit_feed_and_speed_f~ | solid_carbide | plywood_hardwood | 2 | finish | a/exact | cutting D | 6.35 | 0.1524 | 0.2286 | 0.1905 |
| | | | | | | | 12.7 | 0.4572 | 0.5334 | 0.4953 |
| freud_router_bit_feed_and_speed_f~ | solid_carbide | softwood | 2 | finish | a/exact | cutting D | 3.175 | 0.1016 | 0.1524 | 0.1270 |
| | | | | | | | 6.35 | 0.254 | 0.3048 | 0.2794 |
| | | | | | | | 12.7 | 0.508 | 0.5842 | 0.5461 |
| onsrud_hard_plywood_cutting_data | 60_000hh_series | plywood_hardwood | 2 | roughing | a/exact | cutting D | 9.525 | 0.4318 | 0.4826 | 0.4572 |
| | | | | | | | 12.7 | 0.4826 | 0.5334 | 0.5080 |
| onsrud_hard_plywood_cutting_data | 60_000lh_series | plywood_hardwood | 2 | roughing | a/exact | cutting D | 9.525 | 0.3556 | 0.4064 | 0.3810 |
| | | | | | | | 12.7 | 0.4064 | 0.4572 | 0.4318 |
| | | | | | | | 15.875 | 0.4572 | 0.508 | 0.4826 |
| | | | | | | | 19.05 | 0.508 | 0.5588 | 0.5334 |
| onsrud_hard_plywood_cutting_data | 60_100mw_compression_sp~ | plywood_hardwood | 2 | finish | a/exact | cutting D | 3.175 | 0.3048 | 0.3556 | 0.3302 |
| | | | | | | | 4.7625 | 0.3048 | 0.3556 | 0.3302 |
| | | | | | | | 6.35 | 0.3556 | 0.4064 | 0.3810 |
| | | | | | | | 9.525 | 0.4064 | 0.4572 | 0.4318 |
| | | | | | | | 12.7 | 0.4572 | 0.508 | 0.4826 |
| onsrud_hard_plywood_cutting_data | 60_350_series | plywood_hardwood | 2 | semi_finish | a/exact | cutting D | 9.525 | 0.4572 | 0.508 | 0.4826 |
| | | | | | | | 12.7 | 0.508 | 0.5588 | 0.5334 |
| | | | | | | | 15.875 | 0.5588 | 0.635 | 0.5969 |
| onsrud_hard_wood_cutting_data | 60_000hh_series | hardwood | 2 | roughing | b/exact | cutting D | 9.525 | 0.381 | 0.4318 | 0.4064 |
| | | | | | | | 12.7 | 0.4318 | 0.4826 | 0.4572 |
| onsrud_hard_wood_cutting_data | 60_000lh_series | hardwood | 2 | roughing | b/exact | cutting D | 9.525 | 0.3302 | 0.381 | 0.3556 |
| | | | | | | | 12.7 | 0.3556 | 0.4064 | 0.3810 |
| | | | | | | | 15.875 | 0.4064 | 0.4572 | 0.4318 |
| | | | | | | | 19.05 | 0.4318 | 0.4826 | 0.4572 |
| onsrud_hard_wood_cutting_data | 60_100mw_compression_sp~ | hardwood | 2 | finish | b/exact | cutting D | 3.175 | 0.254 | 0.3048 | 0.2794 |
| | | | | | | | 4.7625 | 0.3048 | 0.3556 | 0.3302 |
| | | | | | | | 6.35 | 0.3556 | 0.4064 | 0.3810 |
| | | | | | | | 9.525 | 0.4064 | 0.4572 | 0.4318 |
| onsrud_hard_wood_cutting_data | 60_200_downcut | hardwood | 2 | finish | b/exact | cutting D | 6.35 | 0.127 | 0.1778 | 0.1524 |
| | | | | | | | 9.525 | 0.1524 | 0.2032 | 0.1778 |
| | | | | | | | 12.7 | 0.1778 | 0.2286 | 0.2032 |
| | | | | | | | 19.05 | 0.2032 | 0.254 | 0.2286 |
| onsrud_mdf_cutting_data | 60_000lh_series | mdf | 2 | roughing | b/exact | cutting D | 9.525 | 0.3048 | 0.3556 | 0.3302 |
| | | | | | | | 12.7 | 0.3302 | 0.381 | 0.3556 |
| | | | | | | | 15.875 | 0.3556 | 0.4064 | 0.3810 |
| | | | | | | | 19.05 | 0.4064 | 0.4572 | 0.4318 |
| onsrud_mdf_cutting_data | 60_100mw_compression_sp~ | mdf | 2 | finish | b/exact | cutting D | 3.175 | 0.254 | 0.3048 | 0.2794 |
| | | | | | | | 4.7625 | 0.254 | 0.3048 | 0.2794 |
| | | | | | | | 6.35 | 0.3302 | 0.381 | 0.3556 |
| | | | | | | | 9.525 | 0.3556 | 0.4064 | 0.3810 |
| | | | | | | | 12.7 | 0.4064 | 0.4572 | 0.4318 |
| onsrud_mdf_cutting_data | 60_200_downcut | mdf | 2 | finish | b/exact | cutting D | 6.35 | 0.1016 | 0.1524 | 0.1270 |
| | | | | | | | 9.525 | 0.127 | 0.1778 | 0.1524 |
| | | | | | | | 12.7 | 0.127 | 0.1778 | 0.1524 |
| | | | | | | | 19.05 | 0.1524 | 0.2032 | 0.1778 |
| onsrud_mdf_cutting_data | 60_350_series | mdf | 2 | semi_finish | b/exact | cutting D | 9.525 | 0.3556 | 0.4064 | 0.3810 |
| | | | | | | | 12.7 | 0.4064 | 0.4572 | 0.4318 |
| | | | | | | | 15.875 | 0.4318 | 0.4826 | 0.4572 |
| onsrud_soft_plywood_cutting_data | 60_000hh_series | plywood_softwood | 2 | roughing | a/exact | cutting D | 9.525 | 0.4318 | 0.4826 | 0.4572 |
| | | | | | | | 12.7 | 0.4826 | 0.5334 | 0.5080 |
| onsrud_soft_plywood_cutting_data | 60_000lh_series | plywood_softwood | 2 | roughing | a/exact | cutting D | 9.525 | 0.3556 | 0.4064 | 0.3810 |
| | | | | | | | 12.7 | 0.4064 | 0.4572 | 0.4318 |
| | | | | | | | 15.875 | 0.4572 | 0.508 | 0.4826 |
| | | | | | | | 19.05 | 0.508 | 0.5588 | 0.5334 |
| onsrud_soft_plywood_cutting_data | 60_100mw_compression_sp~ | plywood_softwood | 2 | finish | a/exact | cutting D | 4.7625 | 0.3556 | 0.4064 | 0.3810 |
| | | | | | | | 6.35 | 0.4318 | 0.4826 | 0.4572 |
| | | | | | | | 9.525 | 0.4826 | 0.5334 | 0.5080 |
| | | | | | | | 12.7 | 0.5334 | 0.5842 | 0.5588 |
| onsrud_soft_plywood_cutting_data | 60_350_series | plywood_softwood | 2 | semi_finish | a/exact | cutting D | 9.525 | 0.508 | 0.5588 | 0.5334 |
| | | | | | | | 12.7 | 0.5588 | 0.6096 | 0.5842 |
| | | | | | | | 15.875 | 0.6096 | 0.6604 | 0.6350 |
| onsrud_soft_wood_cutting_data | 60_000lh_series | softwood | 2 | roughing | b/exact | cutting D | 9.525 | 0.3302 | 0.381 | 0.3556 |
| | | | | | | | 12.7 | 0.381 | 0.4318 | 0.4064 |
| | | | | | | | 15.875 | 0.4318 | 0.4826 | 0.4572 |
| onsrud_soft_wood_cutting_data | 60_100mw_compression_sp~ | softwood | 2 | finish | b/exact | cutting D | 3.175 | 0.2794 | 0.3302 | 0.3048 |
| | | | | | | | 4.7625 | 0.3302 | 0.381 | 0.3556 |
| onsrud_soft_wood_cutting_data | 60_200_downcut | softwood | 2 | finish | b/exact | cutting D | 6.35 | 0.127 | 0.1778 | 0.1524 |
| | | | | | | | 9.525 | 0.1524 | 0.2032 | 0.1778 |
| | | | | | | | 12.7 | 0.1778 | 0.2286 | 0.2032 |
| | | | | | | | 19.05 | 0.2032 | 0.254 | 0.2286 |
| spetool_carbide_spiral_router_bit~ | spetool_compression_spi~ | hardwood | 2 | roughing | b/exact | cutting D | 3.175 | - | 0.0762 | 0.0762 |
| | | | | | | | 6.35 | - | 0.127 | 0.1270 |
| | | | | | | | 9.525 | - | 0.1524 | 0.1524 |
| | | | | | | | 12.7 | - | 0.2286 | 0.2286 |
| spetool_carbide_spiral_router_bit~ | spetool_compression_spi~ | mdf | 2 | roughing | b/exact | cutting D | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 6.35 | - | 0.18288 | 0.1829 |
| | | | | | | | 9.525 | - | 0.2286 | 0.2286 |
| | | | | | | | 12.7 | - | 0.3556 | 0.3556 |
| spetool_carbide_spiral_router_bit~ | spetool_compression_spi~ | softwood | 2 | roughing | b/exact | cutting D | 3.175 | - | 0.0889 | 0.0889 |
| | | | | | | | 6.35 | - | 0.15748 | 0.1575 |
| | | | | | | | 9.525 | - | 0.2032 | 0.2032 |
| | | | | | | | 12.7 | - | 0.2794 | 0.2794 |
| spetool_carbide_spiral_router_bit~ | spetool_downcut_spiral | hardwood | 2 | roughing | b/exact | cutting D | 1.5875 | - | 0.0254 | 0.0254 |
| | | | | | | | 3.175 | - | 0.07112 | 0.0711 |
| | | | | | | | 6.35 | - | 0.1016 | 0.1016 |
| | | | | | | | 9.525 | - | 0.1524 | 0.1524 |
| | | | | | | | 12.7 | - | 0.2032 | 0.2032 |
| spetool_carbide_spiral_router_bit~ | spetool_downcut_spiral | mdf | 2 | roughing | b/exact | cutting D | 1.5875 | - | 0.0254 | 0.0254 |
| | | | | | | | 3.175 | - | 0.09144 | 0.0914 |
| | | | | | | | 6.35 | - | 0.1524 | 0.1524 |
| | | | | | | | 9.525 | - | 0.2032 | 0.2032 |
| | | | | | | | 12.7 | - | 0.3048 | 0.3048 |
| spetool_carbide_spiral_router_bit~ | spetool_downcut_spiral | softwood | 2 | roughing | b/exact | cutting D | 1.5875 | - | 0.0254 | 0.0254 |
| | | | | | | | 3.175 | - | 0.08128 | 0.0813 |
| | | | | | | | 6.35 | - | 0.14224 | 0.1422 |
| | | | | | | | 9.525 | - | 0.2032 | 0.2032 |
| | | | | | | | 12.7 | - | 0.254 | 0.2540 |
| spetool_carbide_spiral_router_bit~ | spetool_upcut_spiral | hardwood | 2 | roughing | b/exact | cutting D | 1.5875 | - | 0.0381 | 0.0381 |
| | | | | | | | 3.175 | - | 0.0889 | 0.0889 |
| | | | | | | | 6.35 | - | 0.1524 | 0.1524 |
| | | | | | | | 9.525 | - | 0.1778 | 0.1778 |
| | | | | | | | 12.7 | - | 0.254 | 0.2540 |
| spetool_carbide_spiral_router_bit~ | spetool_upcut_spiral | mdf | 2 | roughing | b/exact | cutting D | 1.5875 | - | 0.0381 | 0.0381 |
| | | | | | | | 3.175 | - | 0.1143 | 0.1143 |
| | | | | | | | 6.35 | - | 0.2032 | 0.2032 |
| | | | | | | | 9.525 | - | 0.254 | 0.2540 |
| | | | | | | | 12.7 | - | 0.381 | 0.3810 |
| spetool_carbide_spiral_router_bit~ | spetool_upcut_spiral | softwood | 2 | roughing | b/exact | cutting D | 1.5875 | - | 0.0381 | 0.0381 |
| | | | | | | | 3.175 | - | 0.1016 | 0.1016 |
| | | | | | | | 6.35 | - | 0.1778 | 0.1778 |
| | | | | | | | 9.525 | - | 0.2286 | 0.2286 |
| | | | | | | | 12.7 | - | 0.3048 | 0.3048 |

## B. Log-log slope per series (on mid; min and max where both limits are printed)
| family | source | subfamily | material | fl | role | n | span | slope mid | r2 | slope min | slope max | note |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| ball_nose | amana_ball_nose_v7 | solid_carbide | hardwood | 2 | roughing | 2 | 2.0x | +0.58 | - | +0.74 | +0.49 | 2 sizes: no residual |
| ball_nose | amana_ball_nose_v7 | solid_carbide | mdf | 2 | roughing | 2 | 2.0x | +0.22 | - | +0.26 | +0.19 | 2 sizes: no residual |
| ball_nose | amana_ball_nose_v7 | solid_carbide | softwood | 2 | roughing | 2 | 2.0x | +0.42 | - | +0.49 | +0.36 | 2 sizes: no residual |
| ball_nose | amana_zrn_3d_profiling | zrn | softwood | 2 | finish | 2 | 1.6x | +0.83 | - | +1.54 | +0.48 | 2 sizes: no residual; D1 tapered cells filed as ball; D2: 1.5875 value from IPM |
| ball_nose | amana_zrn_3d_profiling_v8 | zrn | softwood | 3 | finish | 2 | 1.3x | +0.46 | - | +0.54 | +0.41 | 2 sizes: no residual |
| chamfer_vbit | amana_ams159_vgroove_v2 | carbide_tipped_vgro~ | softwood | 2 | finish | 2 | 1.3x | +0.00 | n/a | +0.00 | +0.00 | 2 sizes: no residual; constant |
| flat_end | amana_compression_spirals_v8 | compression | hardwood | 2 | roughing | 2 | 2.0x | +1.31 | - | +1.31 | +1.31 | 2 sizes: no residual |
| flat_end | amana_compression_spirals_v8 | compression | mdf | 2 | roughing | 2 | 2.0x | +0.86 | - | +0.86 | +0.86 | 2 sizes: no residual |
| flat_end | amana_spektra_spiral_plunge_v~ | spektra_spiral_plun~ | hardwood | 2 | roughing | 3 | 2.0x | +0.33 | 0.99 | - | +0.33 |  |
| flat_end | amana_spektra_spiral_plunge_v~ | spektra_spiral_plun~ | hardwood | 3 | roughing | 3 | 2.0x | +0.33 | 0.99 | - | +0.33 |  |
| flat_end | amana_spektra_spiral_plunge_v~ | spektra_spiral_plun~ | mdf | 2 | roughing | 13 | 16.0x | +0.57 | 0.96 | - | +0.57 |  |
| flat_end | amana_spektra_spiral_plunge_v~ | spektra_spiral_plun~ | mdf | 3 | roughing | 6 | 6.0x | +0.46 | 0.78 | - | +0.46 |  |
| flat_end | amana_spektra_spiral_plunge_v~ | spektra_spiral_plun~ | plywood_hardwood | 2 | roughing | 3 | 2.0x | +0.33 | 0.99 | - | +0.33 | copy of hardwood |
| flat_end | amana_spektra_spiral_plunge_v~ | spektra_spiral_plun~ | plywood_hardwood | 3 | roughing | 3 | 2.0x | +0.33 | 0.99 | - | +0.33 | copy of hardwood |
| flat_end | amana_spektra_spiral_plunge_v~ | spektra_spiral_plun~ | plywood_softwood | 2 | roughing | 3 | 2.0x | +0.33 | 0.99 | - | +0.33 | copy of hardwood |
| flat_end | amana_spektra_spiral_plunge_v~ | spektra_spiral_plun~ | plywood_softwood | 3 | roughing | 3 | 2.0x | +0.33 | 0.99 | - | +0.33 | copy of hardwood |
| flat_end | amana_spektra_spiral_plunge_v~ | spektra_spiral_plun~ | softwood | 2 | roughing | 13 | 16.0x | +0.62 | 0.88 | - | +0.62 |  |
| flat_end | amana_spektra_spiral_plunge_v~ | spektra_spiral_plun~ | softwood | 3 | roughing | 6 | 6.0x | +0.41 | 0.87 | - | +0.41 |  |
| flat_end | amana_zrn_3d_profiling_v8 | zrn_2d3d_carving | softwood | 2 | roughing | 3 | 2.0x | +0.92 | 0.94 | +1.14 | +0.78 |  |
| flat_end | freud_router_bit_feed_and_spe~ | solid_carbide | hardwood | 2 | finish | 4 | 4.0x | +1.25 | 0.99 | +1.62 | +1.04 |  |
| flat_end | freud_router_bit_feed_and_spe~ | solid_carbide | mdf | 2 | roughing | 3 | 4.0x | +1.09 | 0.97 | +1.26 | +0.97 |  |
